video_path,true_label,pred_label,violence_prob,error_type
data/processed/val\0\1MVS2QPWbHc_1.avi,0,1,0.7036798000335693,False Positive
data/processed/val\0\2lrARl7utL4_0.avi,0,1,0.922978401184082,False Positive
data/processed/val\0\2lrARl7utL4_1.avi,0,1,0.8168885111808777,False Positive
data/processed/val\0\2lrARl7utL4_2.avi,0,1,0.6797775626182556,False Positive
data/processed/val\0\32wXo9Dt_0.avi,0,1,0.7103074789047241,False Positive
data/processed/val\0\39BFeYnbu-I_0.avi,0,1,0.7239599823951721,False Positive
data/processed/val\0\4I1DGWsh_0.avi,0,1,0.5299265384674072,False Positive
data/processed/val\0\66U2c3YMjOI_0.avi,0,1,0.7591999173164368,False Positive
data/processed/val\0\66U2c3YMjOI_1.avi,0,1,0.5147236585617065,False Positive
data/processed/val\0\6doZoiaG9PM_1.avi,0,1,0.5781170725822449,False Positive
data/processed/val\0\6doZoiaG9PM_3.avi,0,1,0.5149896144866943,False Positive
data/processed/val\0\6Rl7q_kXYbg_0.avi,0,1,0.699984610080719,False Positive
data/processed/val\0\7gLKFV5voOg_0.avi,0,1,0.8736327886581421,False Positive
data/processed/val\0\8SmT9rE9_0.avi,0,1,0.7494105696678162,False Positive
data/processed/val\0\A7FCl8G35Cs_1.avi,0,1,0.8467747569084167,False Positive
data/processed/val\0\EFv961C5RgY_0.avi,0,1,0.9660971760749817,False Positive
data/processed/val\0\etyiEs3j8x8_1.avi,0,1,0.880511462688446,False Positive
data/processed/val\0\IMA4zYs83Lo_0.avi,0,1,0.960904061794281,False Positive
data/processed/val\0\JECBfnp2ZXc_1.avi,0,1,0.6607271432876587,False Positive
data/processed/val\0\kMgCk8Ku_0.avi,0,1,0.9344345927238464,False Positive
data/processed/val\0\mwuiYEBdkJs_1.avi,0,1,0.9159495830535889,False Positive
data/processed/val\0\ngv36FBY_0.avi,0,1,0.8014754056930542,False Positive
data/processed/val\0\Nlopikk0zhE_0.avi,0,1,0.5050338506698608,False Positive
data/processed/val\0\NnUOjff0_0.avi,0,1,0.8626308441162109,False Positive
data/processed/val\0\nTsOksk7_0.avi,0,1,0.7436982989311218,False Positive
data/processed/val\0\nuf-d5GugL0_0.avi,0,1,0.9643370509147644,False Positive
data/processed/val\0\nuf-d5GugL0_1.avi,0,1,0.962769627571106,False Positive
data/processed/val\0\nuf-d5GugL0_2.avi,0,1,0.9449288845062256,False Positive
data/processed/val\0\nVdn1krnTCQ_0.avi,0,1,0.9204017519950867,False Positive
data/processed/val\0\nVdn1krnTCQ_1.avi,0,1,0.9301092624664307,False Positive
data/processed/val\0\nVdn1krnTCQ_2.avi,0,1,0.6994380950927734,False Positive
data/processed/val\0\NV_104.mp4,0,1,0.8716920614242554,False Positive
data/processed/val\0\NV_119.mp4,0,1,0.8927343487739563,False Positive
data/processed/val\0\NV_137.mp4,0,1,0.6299902200698853,False Positive
data/processed/val\0\NV_138.mp4,0,1,0.6326590180397034,False Positive
data/processed/val\0\NV_14.mp4,0,1,0.8253558874130249,False Positive
data/processed/val\0\NV_198.mp4,0,1,0.8127210736274719,False Positive
data/processed/val\0\NV_20.mp4,0,1,0.7058408260345459,False Positive
data/processed/val\0\NV_24.mp4,0,1,0.8084266185760498,False Positive
data/processed/val\0\NV_27.mp4,0,1,0.7058408260345459,False Positive
data/processed/val\0\NV_28.mp4,0,1,0.8193198442459106,False Positive
data/processed/val\0\NV_29.mp4,0,1,0.8693022727966309,False Positive
data/processed/val\0\NV_32.mp4,0,1,0.5270581841468811,False Positive
data/processed/val\0\NV_70.mp4,0,1,0.5412635207176208,False Positive
data/processed/val\0\NV_72.mp4,0,1,0.5295979380607605,False Positive
data/processed/val\0\PNgE-OKjhgU_0.avi,0,1,0.9272912740707397,False Positive
data/processed/val\0\qaAclucigpY_0.avi,0,1,0.706122636795044,False Positive
data/processed/val\0\qaAclucigpY_1.avi,0,1,0.5554882287979126,False Positive
data/processed/val\0\RIXaF_TkLlU_1.avi,0,1,0.7712473273277283,False Positive
data/processed/val\0\RIXaF_TkLlU_2.avi,0,1,0.944737434387207,False Positive
data/processed/val\0\Ry5c1PbcIa0_0.avi,0,1,0.6868032217025757,False Positive
data/processed/val\0\tf_X7GtOGyE_1.avi,0,1,0.6999849081039429,False Positive
data/processed/val\0\tf_X7GtOGyE_2.avi,0,1,0.6123389601707458,False Positive
data/processed/val\0\u-VcErKk6Qs_0.avi,0,1,0.9486958980560303,False Positive
data/processed/val\0\v4dhdnsxiX4_1.avi,0,1,0.96307772397995,False Positive
data/processed/val\0\v4dhdnsxiX4_2.avi,0,1,0.9660963416099548,False Positive
data/processed/val\0\VF8M3gXp_0.avi,0,1,0.8558682799339294,False Positive
data/processed/val\0\Wq0BuA8GM84_0.avi,0,1,0.6358489394187927,False Positive
data/processed/val\0\wyLoweAn_9Q_0.avi,0,1,0.6474949717521667,False Positive
data/processed/val\0\wyLoweAn_9Q_1.avi,0,1,0.9028190970420837,False Positive
data/processed/val\0\Xcd0v-KhKL4_0.avi,0,1,0.9429693222045898,False Positive
data/processed/val\0\xRbCHA5YTi8_0.avi,0,1,0.9671875238418579,False Positive
data/processed/val\0\zGBzk5SeJOw_1.avi,0,1,0.5267847776412964,False Positive
data/processed/val\0\zOqs7Oh9oDM_0.avi,0,1,0.877378523349762,False Positive
data/processed/val\1\6Rl7q_kXYbg_4.avi,1,0,0.34839051961898804,False Negative
data/processed/val\1\bW2vHhYbzHM_0.avi,1,0,0.4976106584072113,False Negative
