train_loss,val_loss,train_acc,val_acc
0.8591700351238251,0.7205078369379043,0.5609375,0.58875
0.7532660269737244,0.7033462885022164,0.6696875,0.66375
0.6544127833843231,0.7213373327255249,0.7271875,0.645
0.6248755663633346,0.6050677567720413,0.741875,0.65625
0.6288784655928612,0.8270164841413498,0.730625,0.6425
0.6033625313639641,0.6761837404966354,0.7503125,0.65875
0.5202599921822548,0.6905322328209877,0.7821875,0.66875
0.5165968996286392,0.6183637058734894,0.79375,0.71625
0.5086171217262745,0.6632040140032768,0.7903125,0.65
0.48350692689418795,0.6376377761363983,0.813125,0.6775
0.4128137111663818,0.8595361924171447,0.8434375,0.64625
0.4339021900296211,0.5534094575047493,0.8271875,0.7475
0.40118476092815397,0.5115913516283035,0.8459375,0.74875
0.3512101376056671,0.5481009560823441,0.875,0.74125
0.37315146550536155,0.6223091620206833,0.8528125,0.745
0.3429120460152626,0.6115477174520493,0.8740625,0.73
0.3326758442819118,0.5454008594155312,0.875,0.745
0.3135302197933197,0.5771335196495057,0.8728125,0.75125
0.3278538690507412,0.5487196499109268,0.8771875,0.7375
0.3004112377762794,0.6691695663332939,0.8815625,0.71625
0.2847045524418354,0.5950451648235321,0.895625,0.75
0.28518293783068654,0.5414691668748856,0.8884375,0.75125
0.29416286446154116,0.6126634854078293,0.8909375,0.72
0.24388023264706135,0.6384641289710998,0.914375,0.70625
0.2378273969888687,0.5886329746246338,0.9171875,0.72875
0.23889788262546063,0.566588990688324,0.9125,0.75
0.2442385806888342,0.595858708024025,0.9059375,0.74375
0.23162048161029816,0.5842191089689731,0.9178125,0.74375
0.23371367312967778,0.5742912331223488,0.9134375,0.73625
0.22072196125984192,0.6066993480920791,0.9196875,0.7375
0.24098067253828048,0.6223515401780605,0.909375,0.745
0.21589409470558166,0.5655279275774956,0.925,0.7525
0.2164806431531906,0.6227539056539535,0.9171875,0.75875
0.20050617158412934,0.585222500860691,0.9290625,0.745
0.18985744632780552,0.59979233071208,0.9309375,0.745
0.19495171390473842,0.6133338187634945,0.93125,0.75125
0.1942876821756363,0.6091968244314194,0.9271875,0.73125
0.19115644484758376,0.6015421801805496,0.936875,0.73875
0.18957995787262916,0.6215205129981041,0.9284375,0.73125
0.1850006590783596,0.615705589056015,0.9346875,0.74625
0.16983863487839698,0.6677161541581154,0.9425,0.73625
0.16896542094647884,0.629322336614132,0.9390625,0.735
0.182278074324131,0.6248862215876579,0.9346875,0.74625
0.17292076259851455,0.618928074836731,0.9390625,0.74375
0.15385095447301864,0.6493646207451821,0.9484375,0.7425
0.14993387870490552,0.5960303708910942,0.9515625,0.75875
0.15023279063403605,0.6069385224580764,0.9459375,0.75375
0.14737882204353808,0.6142741173505784,0.954375,0.74625
